School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6612125,Ysgol Cymerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Mela,Pwllheli,Gwynedd,,LL53 5AR,01758612001,269,,,,,,,,,,
6612126,Ysgol Abercaseg (Babanod),661,Gwynedd,Primary,Community,WM,Welsh medium,Nursery & Infants,---,Bethesda,Bangor,Gwynedd,,LL57 3PL,01248600194,84,,,,,,,,,,
6612127,Ysgol y Felinheli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Felinheli,Gwynedd,,,LL56 4TZ,01248670748,171,,,,,,,,,,
6612181,Ysgol y Traeth,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abermaw,Gwynedd,,,LL42 1HH,01341280479,180,,,,,,,,,,
6612185,Ysgol Gynradd Dyffryn Dulas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Corris,Machynlleth,Powys,,SY20 9TQ,01654761622,31,,,,,,,,,,
6612189,Ysgol Gynradd Dyffryn Ardudwy,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Dyffryn Ardudwy,Gwynedd,,,LL44 2EP,01341247294,63,,,,,,,,,,
6612190,Ysgol Bro Cynfal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffestiniog,Blaenau Ffestiniog,Gwynedd,,LL41 4NF,01766762668,29,,,,,,,,,,
6612192,Ysgol Edmwnd Prys,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellilydan,Blaenau Ffestiniog,Gwynedd,,LL41 4DY,01766590348,21,,,,,,,,,,
6612194,Ysgol Gynradd Llanbedr,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanbedr,Gwynedd,,,LL45 2NW,01341241422,45,,,,,,,,,,
6612198,YSGOL Y GARREG,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfrothen,Penrhyndeudraeth,Gwynedd,,LL48 6LJ,01766770727,16,,,,,,,,,,
6612199,Ysgol O M Edwards,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanuwchllyn,Bala,Gwynedd,,LL23 7UB,01678540242,85,,,,,,,,,,
6612205,Ysgol Manod,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 4AF,01766830272,93,,,,,,,,,,
6612207,Ysgol Gynradd Pennal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pennal,Machynlleth,Gwynedd,,SY20 9JT,01654791225,29,,,,,,,,,,
6612208,Ysgol Cefn Coch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penrhyndeudraeth,Gwynedd,,,LL48 6AE,01766770291,159,,,,,,,,,,
6612210,Ysgol Talsarnau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Talsarnau,Gwynedd,,,LL47 6TA,01766770768,24,,,,,,,,,,
6612211,Ysgol Gynradd Tanygrisiau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3SU,01766830795,39,,,,,,,,,,
6612212,Ysgol Gynradd Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Tywyn,Gwynedd,,,LL36 9EF,01654710237,236,,,,,,,,,,
6612213,Ysgol Bro Hedd Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trawsfynydd,Blaenau Ffestiniog,Gwynedd,,LL41 4SE,01766540247,57,,,,,,,,,,
6612214,Ysgol Bro Tryweryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Frongoch,Bala,Gwynedd,,LL23 7NT,01678520740,60,,,,,,,,,,
